RBD,acciones,estim_total,estim_sep,pct_completas,avance_min,avance_max,porc_ben,montos_extremos,faltantes_sep,duplicados,nombre_pme,NOM_RBD,NOM_COM_RBD,COD_DEPE,RURAL_RBD,ESTADO_ESTAB,MAT_TOTAL,ENS_01,_merge,estim_por_alumno,elegible
175,12,2970000,2970000.0,1.0,100.0,100.0,100.0,0,0,0,ESCUELA YALA YALA,ESCUELA YALA YALA,CAMIÑA,2,1,1,4,110,both,742500.0,True
177,8,2176127,2176127.0,0.875,93.75,96.75,31.2,0,0,0,ESCUELA BASICA CARIQUIMA,ESCUELA BASICA CARIQUIMA,COLCHANE,2,1,1,16,110,both,136007.9375,True
178,12,33756511,0.0,0.08333333333333333,70.83333333333333,92.83333333333333,54.5,0,0,0,LICEO TECNICO PROFESIONAL COLCHANE,LICEO TECNICO PROFESIONAL COLCHANE,COLCHANE,2,1,1,200,10,both,168782.555,True
185,8,290000,290000.0,0.875,93.75,96.75,25.0,0,0,0,ESCUELA BASICA PISIGA-CHOQUE,ESCUELA BASICA PISIGA-CHOQUE,COLCHANE,2,1,1,8,110,both,36250.0,True
186,8,747054,747054.0,0.875,93.75,96.75,50.0,0,0,0,ESCUELA BASICA ENQUELGA,ESCUELA BASICA ENQUELGA,COLCHANE,2,1,1,6,110,both,124509.0,True
188,15,51300000,0.0,0.8,88.4,93.13333333333334,70.6,0,0,0,ESC. MATILLA DE NUEVA EXTREMADURA,ESC. MATILLA DE NUEVA EXTREMADURA,PICA,2,1,1,235,10,both,218297.87234042553,True
191,12,410000000,410000000.0,0.9166666666666666,97.91666666666667,99.91666666666667,77.0,0,0,0,LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,POZO ALMONTE,1,1,1,951,310,both,431125.13144058886,True
192,8,22019249,22019249.0,1.0,100.0,100.0,92.9,0,0,0,ESCUELA BASICA MAMINA,ESCUELA BASICA MAMINA,POZO ALMONTE,1,1,1,28,10,both,786401.75,True
193,8,385700000,385700000.0,0.0,75.0,99.0,84.2,0,0,0,ESCUELA BASICA POZO ALMONTE,ESCUELA BASICA POZO ALMONTE,POZO ALMONTE,1,1,1,697,10,both,553371.5925394548,True
195,8,182000000,182000000.0,1.0,100.0,100.0,87.7,0,0,0,ESCUELA BASICA LA TIRANA,ESCUELA BASICA LA TIRANA,POZO ALMONTE,1,1,1,300,10,both,606666.6666666666,True
196,8,0,0.0,0.125,71.875,92.875,69.2,0,0,0,ESCUELA BASICA HUATACONDO,ESCUELA BASICA HUATACONDO,POZO ALMONTE,1,1,1,13,110,both,0.0,True
198,9,51979154,51979154.0,1.0,100.0,100.0,77.9,0,0,0,ESCUELA BASICA LA HUAYCA,ESCUELA BASICA LA HUAYCA,POZO ALMONTE,1,1,1,113,10,both,459992.5132743363,True
199,23,201000000,176000000.0,0.17391304347826086,59.78260869565217,79.6086956521739,63.8,0,0,0,LICEO DOMINGO LATRILLE LASTAUNOU,LICEO DOMINGO LATRILLE LASTAUNOU,TOCOPILLA,2,0,1,710,110,both,283098.59154929576,True
200,17,341000000,260000000.0,0.7647058823529411,94.11764705882354,99.76470588235294,93.3,0,0,0,LICEO POLITÉCNICO BICENTENARIO DE EXCELENCIA DIEGO PORTALES PALAZUELOS,LICEO POLITÉCNICO BICENTENARIO DE EXCELENCIA DIEGO PORTALES PALAZUELOS,TOCOPILLA,2,0,1,714,310,both,477591.0364145658,True
201,8,316000000,316000000.0,0.875,96.875,99.875,83.2,0,0,0,ESCUELA CARLOS CONDELL DE LA HAZA,ESCUELA CARLOS CONDELL DE LA HAZA,TOCOPILLA,2,0,1,536,10,both,589552.2388059702,True
203,9,305000000,305000000.0,0.4444444444444444,86.11111111111111,99.44444444444444,83.9,0,0,0,ESCUELA PABLO NERUDA,ESCUELA PABLO NERUDA,TOCOPILLA,2,0,1,478,10,both,638075.3138075314,True
204,13,457000000,457000000.0,0.9230769230769231,98.07692307692308,99.92307692307692,92.2,0,0,0,ESCUELA L.GRAL.BERNARDO O´HIGGINS R.,ESCUELA L.GRAL.BERNARDO O´HIGGINS R.,TOCOPILLA,2,0,1,668,10,both,684131.7365269461,True
205,12,285000000,285000000.0,1.0,100.0,100.0,77.9,0,0,0,ESCUELA ARTURO PRAT CHACON,ESCUELA ARTURO PRAT CHACON,TOCOPILLA,2,0,1,420,10,both,678571.4285714285,True
206,12,302000000,302000000.0,1.0,100.0,100.0,89.2,0,0,0,ESCUELA ESTADOS UNIDOS DE NORTEAMERICA,ESCUELA ESTADOS UNIDOS DE NORTEAMERICA,TOCOPILLA,2,0,1,351,10,both,860398.8603988604,True
