numero_anexo,dependencia_original,decreto,fecha_decreto,factura,fecha_factura,tipo,comodato,modelo_original,pagina_pdf,tabla,fila_tabla,id_fila,dependencia,familia,rbd
101,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,34,4,21,sin_comodato_34_4_21,Cumcumllaque,Mlab 7,6012
102,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,34,4,22,sin_comodato_34_4_22,Cumcumllaque,Mlab 7,6012
103,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,34,4,23,sin_comodato_34_4_23,Cumcumllaque,Mlab 7,6012
104,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,34,4,24,sin_comodato_34_4_24,Cumcumllaque,Mlab 7,6012
105,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,34,4,25,sin_comodato_34_4_25,Cumcumllaque,Mlab 7,6012
106,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,34,4,26,sin_comodato_34_4_26,Cumcumllaque,Mlab 7,6012
107,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,34,4,27,sin_comodato_34_4_27,Cumcumllaque,Mlab 7,6012
108,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,34,4,28,sin_comodato_34_4_28,Cumcumllaque,Mlab 7,6012
109,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,34,4,29,sin_comodato_34_4_29,Cumcumllaque,Mlab 7,6012
110,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,35,5,2,sin_comodato_35_5_2,Cumcumllaque,Mlab 7,6012
111,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,35,5,3,sin_comodato_35_5_3,Cumcumllaque,Mlab 7,6012
112,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,35,5,4,sin_comodato_35_5_4,Cumcumllaque,Mlab 7,6012
113,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,35,5,5,sin_comodato_35_5_5,Cumcumllaque,Mlab 7,6012
114,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,35,5,6,sin_comodato_35_5_6,Cumcumllaque,Mlab 7,6012
